"candidate_id","source_name","source_cas","source_legacy_sort_code","source_v24_row","target_name","target_cas","target_legacy_sort_code","target_v24_row","proposed_relation_type","trigger_condition","recommendation_level","default_selected","allow_multiple","require_user_confirmation","evidence_location","evidence_note","review_status"
"XCAS-001","3가크롬","7440-47-3","3M-20-212","83","6가크롬","18540-29-9","3M-25-010","108","PROCESS_GENERATED","용접|고열|열절단|산화 조건","strong","N","Y","Y","smu_gui.py:237-239, 6991-6993","GUI가 3가/금속 크롬 후보에 6가크롬을 결합하고 산화 가능성을 안내함. 직접 검출과 분리 필요","REVIEW_REQUIRED"
"XCAS-002","산화크롬(III)","1308-38-9","","","6가크롬","18540-29-9","3M-25-010","108","PROCESS_GENERATED","용접|고열|열절단|산화 조건","strong","N","Y","Y","smu_gui.py:237-239, 292","소스 CAS는 V24에 없으므로 별칭/외부 성분 후보로만 보존하고 사람 검토","REVIEW_REQUIRED"
"XCAS-003","철","7439-89-6","","","산화철(분진, 흄)","1309-37-1","3M-20-011","30","PROCESS_GENERATED","제품명 또는 공정명에 용접|welding","strong","N","Y","Y","smu_gui.py:1449-1468, 6370-6414","현재 GUI는 용접 시 철을 산화철로 치환 또는 추가함. 대체가 아니라 생성 가능 추천으로 재설계 필요","REVIEW_REQUIRED"
"XCAS-004","철","7439-89-6","","","용접흄","","2D-17-010","28","PROCESS_GENERATED","제품명 또는 공정명에 용접|welding","strong","N","Y","Y","smu_gui.py:1459-1468, 6397-6408","대상 용접흄은 V24에서 CAS 공란. 직접 검출이 아니라 공정 추천","REVIEW_REQUIRED"
"XCAS-005","금홍석","1317-80-2","","","이산화티타늄","13463-67-7","3M-20-160","69","CO_EXPOSURE","금홍석 또는 rutile 명칭 검출","medium","N","Y","Y","smu_gui.py:3743-3744, 6099, 6526-6527","GUI가 이산화티타늄과 광물성분진을 복수 전개. 원재료 조성 확인 필요","REVIEW_REQUIRED"
"XCAS-006","금홍석","1317-80-2","","","기타광물성분진","","2D-10-010","3","CO_EXPOSURE","분진 발생 작업 및 금홍석 취급","medium","N","Y","Y","smu_gui.py:3743-3744, 6099, 6526-6527","대상 CAS 공란. 분진 발생 여부 확인 필요","REVIEW_REQUIRED"
"XCAS-007","Limestone","1317-65-3","","","기타광물성분진","","2D-10-010","3","ALTERNATIVE","석회석 분진 또는 규제현황에 광물성분진","medium","N","Y","Y","smu_gui.py:201-205, 3739-3740, 6521-6523","GUI의 직접 치환 규칙. 공정·제품 형태와 고시 근거 확인 후 선택","REVIEW_REQUIRED"
"XCAS-008","탄산칼슘","471-34-1","","","기타광물성분진","","2D-10-010","3","ALTERNATIVE","광물성 분진 형태 또는 규제현황에 광물성분진","medium","N","Y","Y","smu_gui.py:201-205, 3741-3742, 6524-6525","순수 탄산칼슘과 광물성 분진을 자동 동일시하지 말고 사용자 확인","REVIEW_REQUIRED"
"XCAS-009","무정형 실리카","7631-86-9","","","석영","14808-60-7 등","2D-15-010","24","ALTERNATIVE","원재료가 천연 광물인지 합성 실리카인지","medium","N","Y","Y","smu_gui.py:242-243, 6994-6996","GUI는 실리카 CAS 연합 후보를 구성하지만 결정형·무정형은 자동 동치가 아님","REVIEW_REQUIRED"
"XCAS-010","석영","14808-60-7 등","2D-15-010","24","크리스토발라이트","14464-46-1","2D-15-020","25","ANALYTICAL_RELATION","결정형 유리규산 분석 또는 고열 변형 가능성 검토","medium","N","Y","Y","smu_gui.py:6994-6996","실리카 후보 연합. 실제 결정형과 공정 조건 확인","REVIEW_REQUIRED"
"XCAS-011","석영","14808-60-7 등","2D-15-010","24","트리디마이트","15468-32-3","2D-15-030","26","ANALYTICAL_RELATION","결정형 유리규산 분석 또는 고열 변형 가능성 검토","medium","N","Y","Y","smu_gui.py:6994-6996","실리카 후보 연합. 실제 결정형과 공정 조건 확인","REVIEW_REQUIRED"
"XCAS-012","염화바륨","10361-37-2","","","바륨","7440-39-3","3M-20-070","45","MANUAL_REVIEW","CAS 기반 GUI redirect","weak","N","Y","Y","smu_gui.py:6983-6988","화합물 CAS를 원소 CAS로 리다이렉트하는 현재 규칙. 직접 동일시 금지","REVIEW_REQUIRED"
"XCAS-013","질산은","7761-88-8","","","은","7440-22-4","3M-20-150","65","MANUAL_REVIEW","CAS 기반 GUI redirect","weak","N","Y","Y","smu_gui.py:6983-6988","질산은과 은 측정인자 후보 연결. 화학종/분석조건 검토 필요","REVIEW_REQUIRED"
"XCAS-014","니켈","7440-02-0","3M-20-050","38","황화니켈류","16812-54-7","3M-22-040","105","MANUAL_REVIEW","니켈계 원재료 또는 황화물 명칭","weak","N","Y","Y","V24 rows 38-42 and 105; Module5.bas:35-38","명칭 계열 및 특별 유해인자 목록상 연관 후보. 자동 추천 근거는 부족","REVIEW_REQUIRED"
"XCAS-015","니켈","7440-02-0","3M-20-050","38","니켈카르보닐","13463-39-3","3M-22-020","103","MANUAL_REVIEW","니켈카르보닐 명시 또는 생성 공정","weak","N","Y","Y","V24 rows 38-42 and 103","동일 원소 계열이지만 별도 CAS·별도 측정인자. 자동 연결 금지","REVIEW_REQUIRED"
"XCAS-016","활석","14807-96-6","2D-11-030","13","석면","1332-21-4","2D-16-010","27","ANALYTICAL_RELATION","활석에 석면 포함 또는 석면 불포함을 확인할 수 없음","strong","N","Y","Y","사용자 제공 안전보건공단 MSDS 조회 결과(2026-07-18)","석면 포함 활석은 활석 TWA를 적용하지 않고 석면 기준(0.1개/cm3)을 참조. 자동 대체가 아니라 석면 함유 여부 확인 후 추가 검토","REVIEW_REQUIRED"
