"inventory_id","source_file","function_name","line_start","line_end","trigger_kind","trigger_values","current_behavior","risk","proposed_data_destination","confirmed_or_inferred","review_status"
"GUI-001","smu_gui.py","resolve_substance_variant","192","211","CAS","471-34-1|1317-65-3","profiles가 없으면 기타광물성분진과 분석조건을 코드에서 생성","데이터셋에 없는 값 생성 및 직접 치환","recommendation_rules + aliases","CONFIRMED","OPEN"
"GUI-002","smu_gui.py","SubstanceSelectDialog.__init__","237","239","명칭/CAS","chrome|크롬|7440-47-3|1308-38-9","크롬/6가크롬 안내문과 산화 가능성 안내","가이드와 관계가 코드에 결합","substance_relations + recommendation_rules","CONFIRMED","OPEN"
"GUI-003","smu_gui.py","SubstanceSelectDialog.__init__","240","241","명칭/CAS","nickel|니켈|7440-02-0","금속가공/도금에 따른 불용성·수용성 후보 안내","공정 추천이 자유문구","recommendation_rules","CONFIRMED","OPEN"
"GUI-004","smu_gui.py","SubstanceSelectDialog.__init__","242","243","명칭/CAS","silica|실리카|규산|7631-86-9|14808-60-7|1317-65-3|471-34-1","결정형·무정형·광물성분진 선택 안내","서로 다른 물질군의 조건이 코드에 결합","substance_relations + recommendation_rules","CONFIRMED","OPEN"
"GUI-005","smu_gui.py","SubstanceSelectDialog.__init__","290","298","명칭/CAS","chrome|크롬|7440-47-3|1308-38-9","복수선택을 기본 활성화","selection_mode가 데이터에 없음","substance_relations.allow_multiple","CONFIRMED","OPEN"
"GUI-006","smu_gui.py","load_mes_master","1736","1761","CAS","모든 유효 CAS","CAS 중복 시 최초 행만 mes_cas_map에 저장","동일 CAS 성상 손실","index_loader + resolver candidate group","CONFIRMED","OPEN"
"GUI-007","smu_gui.py","search_substance_db","3657","3689","동일 CAS/명칭 길이","모든 동일 CAS","가장 짧은 명칭을 부모로 추정","부모·자식 자동 오판 가능","explicit parent_profile_id","CONFIRMED","OPEN"
"GUI-008","smu_gui.py","clean_substances_excel.get_mapped_factor","3733","3747","CAS/명칭","1317-65-3|471-34-1|1317-80-2|14807-96-6","석회석·탄산칼슘·금홍석·활석 후보를 고정 반환","관계/추천/대체가 혼재","relations + rules + aliases","CONFIRMED","OPEN"
"GUI-009","smu_gui.py","clean_substances_excel","4058","4091","CAS/부모명","14807-96-6|활석","활석 계열 자동교정 제외 및 수동 팝업","물질별 예외 코드","profile.review_status + relation confirmation","CONFIRMED","OPEN"
"GUI-010","smu_gui.py","refresh_live_correction_panel","6095","6102","CAS","1317-65-3|471-34-1|1317-80-2|14807-96-6|7429-90-5|7440-22-4","교정 사유 문구 생성","근거 문구가 실행 규칙과 분리되지 않음","guide_message/evidence_note","CONFIRMED","OPEN"
"GUI-011","smu_gui.py","render_file_rows","6320","6368","제품명/CAS 조합","CR13|K308|7439-89-6+7439-96-5+13463-67-7","CR-13 구성성분과 함량을 고정 재작성","특정 제품 지식과 측정인자 규칙 혼재","product/process rules (별도 검토)","CONFIRMED","OPEN"
"GUI-012","smu_gui.py","render_file_rows","6370","6416","제품명/공정/CAS","용접|welding|7439-89-6","철을 산화철로 치환하고 용접흄·산화철 추가, 광물분진 제거","직접검출과 생성추천 혼합 및 원성분 손실","recommendation_rules with selection_source","CONFIRMED","OPEN"
"GUI-013","smu_gui.py","render_file_rows","6422","6431","CAS","모든 렌더 성분","seen_cas로 동일 CAS 중복 제거","동일 CAS 복수 profile을 제거할 위험","dedupe by profile_id + selection_source","CONFIRMED","OPEN"
"GUI-014","smu_gui.py","render_file_rows/regenerate_validation_results","6518","6529","규제문구/CAS/명칭","광물성분진|1317-65-3|471-34-1|1317-80-2|14807-96-6","측정대상 문자열을 고정 결정","추천과 자동확정 구분 없음","resolver recommendations","CONFIRMED","OPEN"
"GUI-015","smu_gui.py","find_mes_candidates","6983","6988","CAS redirect","10361-37-2→7440-39-3|7761-88-8→7440-22-4","화합물 CAS를 원소 CAS 후보로 치환","CAS가 다른 물질의 직접 동일시","MANUAL_REVIEW relations","CONFIRMED","OPEN"
"GUI-016","smu_gui.py","find_mes_candidates","6991","6993","CAS","7440-47-3→18540-29-9","크롬 후보에 6가크롬 추가","공정 조건과 출처가 반환값에 없음","PROCESS_GENERATED rule","CONFIRMED","OPEN"
"GUI-017","smu_gui.py","find_mes_candidates","6994","7018","CAS","7631-86-9|14808-60-7|14464-46-1|15468-32-3","실리카 CAS 연합 및 기타광물성분진 후보 포함","결정형·무정형·CAS 없는 인자 혼재","relations + process rules","CONFIRMED","OPEN"
"GUI-018","smu_gui.py","find_auto_twa_matched_candidate","7301","7347","TWA/규제문구","광물성분진 또는 단일 TWA 일치","단일 수치 일치로 후보 자동확정","ppm/mg 단위·성상·법적 조건 충돌 위험","resolver scoring; confirmation required","CONFIRMED","OPEN"
